Question,Answer
Apa aturan yang berlaku terkait Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 3 kali sehari.."
Apa itu Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Dokumen atau kegiatan apa saja pada Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Jelaskan jenis dokumen atau kegiatan untuk Pelimpahan Penerimaan Negara (Valas).,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Kapan batas waktu pengajuan Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa batas waktu untuk satker atau agen dalam Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Sampai kapan Pelimpahan oleh Collecting Agent (C/A) harus diajukan pada Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa keterangan khusus untuk Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa syarat atau kondisi tambahan pada Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa aturan yang berlaku terkait Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku mulai 19 Desember 2025 s.d. 30 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa itu Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Dokumen atau kegiatan apa saja pada Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Jelaskan jenis dokumen atau kegiatan untuk Pelimpahan Penerimaan Negara (Rupiah).,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Kapan batas waktu pengajuan Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Apa batas waktu untuk satker atau agen dalam Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Sampai kapan Pelimpahan oleh Collecting Agent (C/A) harus diajukan pada Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Apa keterangan khusus untuk Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Apa syarat atau kondisi tambahan pada Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Apa aturan yang berlaku terkait Pelimpahan Penerimaan Negara (Rupiah)?,"Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 09.00, 13.30, 17.30, 19.00, 22.00 WIB. Keterangan: Berlaku pada 31 Desember 2025. Transaksi penyetoran hingga pukul 22.00 waktu setempat. Pelimpahan minimal 5 kali sehari.."
Apa itu Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Dokumen atau kegiatan apa saja pada Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Jelaskan jenis dokumen atau kegiatan untuk Pelimpahan Penerimaan Negara (Valas).,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Kapan batas waktu pengajuan Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa batas waktu untuk satker atau agen dalam Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Sampai kapan Pelimpahan oleh Collecting Agent (C/A) harus diajukan pada Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa keterangan khusus untuk Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa syarat atau kondisi tambahan pada Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa aturan yang berlaku terkait Pelimpahan Penerimaan Negara (Valas)?,Jenis dokumen/kegiatan: Pelimpahan oleh Collecting Agent (C/A). Batas waktu pengajuan: Paling lambat 17.30 WIB. Keterangan: Berlaku pada 31 Desember 2025. Pelimpahan minimal 1 kali setiap Hari Kerja..
Apa itu Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Dokumen atau kegiatan apa saja pada Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Jelaskan jenis dokumen atau kegiatan untuk Pelimpahan Penerimaan Negara (Rupiah & Valas).,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Kapan batas waktu pengajuan Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Apa batas waktu untuk satker atau agen dalam Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Sampai kapan Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025 harus diajukan pada Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Apa keterangan khusus untuk Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Apa syarat atau kondisi tambahan pada Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Apa aturan yang berlaku terkait Pelimpahan Penerimaan Negara (Rupiah & Valas)?,"Jenis dokumen/kegiatan: Penerimaan yang diterima C/A setelah 21.00 waktu setempat (Rupiah) atau 16.00 waktu setempat (Valas) pada 31 Desember 2025. Batas waktu pengajuan: Paling lambat diterima 08.00 WIB, 2 Januari 2026. Keterangan: Dibukukan sebagai penerimaan tanggal 31 Desember 2025.."
Apa itu Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Dokumen atau kegiatan apa saja pada Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Jelaskan jenis dokumen atau kegiatan untuk Rekonsiliasi Penerimaan Negara.,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Kapan batas waktu pengajuan Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Apa batas waktu untuk satker atau agen dalam Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Sampai kapan Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan) harus diajukan pada Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Kapan batas waktu penyelesaian Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Apa ketentuan penyelesaian oleh KPPN atau pihak berwenang untuk Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Apa keterangan khusus untuk Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Apa syarat atau kondisi tambahan pada Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Apa aturan yang berlaku terkait Rekonsiliasi Penerimaan Negara?,"Jenis dokumen/kegiatan: Rekonsiliasi Transaksi & Kas (KPPN Khusus Penerimaan). Batas waktu pengajuan: Laporan harian elektronik dan rekening koran elektronik disampaikan C/A paling lambat 09.00 WIB, 2 Januari 2026. Batas waktu penyelesaian: Paling lambat 17.00 WIB, 2 Januari 2026. Keterangan: Untuk Penerimaan Negara yang pelimpahannya dilakukan tanggal 2 Januari 2026.."
Apa itu Pendaftaran Data Kontrak (NRK)?,Jenis dokumen/kegiatan: Kontrak ditandatangani s.d. 30 September 2025. Batas waktu pengajuan: Paling lambat 7 Oktober 2025. Batas waktu penyelesaian: Paling lambat 2 Hari Kerja setelah diterima. Keterangan: Pengajuan ke KPPN..
